code_module,code_presentation,id_student,gender,region,highest_education,final_result,module_presentation_length,days_studied,activities_engaged,total_clicks,assessments_completed,average_assessment_score
AAA,2013J,147793,F,North Region,Lower Than A Level,Withdrawn,268,9.0,41.0,155.0,0.16666666666666666,52.0
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,Withdrawn,268,106.0,554.0,1864.0,0.5,72.0
AAA,2013J,151358,F,London Region,A Level or Equivalent,Pass,268,20.0,89.0,270.0,0.8333333333333334,50.0
AAA,2013J,155550,M,London Region,A Level or Equivalent,Pass,268,81.0,419.0,1529.0,0.8333333333333334,67.0
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,Pass,268,202.0,963.0,4003.0,0.8333333333333334,79.8
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,Withdrawn,268,44.0,245.0,908.0,0.3333333333333333,80.0
AAA,2013J,157568,F,South West Region,A Level or Equivalent,Pass,268,87.0,386.0,1405.0,0.8333333333333334,70.6
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,Withdrawn,268,66.0,320.0,1185.0,0.3333333333333333,66.5
AAA,2013J,164259,M,Scotland,A Level or Equivalent,Pass,268,51.0,239.0,466.0,0.8333333333333334,71.8
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,Pass,268,99.0,515.0,1510.0,0.8333333333333334,69.4
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,Pass,268,42.0,302.0,745.0,0.8333333333333334,66.4
AAA,2013J,175932,M,North Western Region,HE Qualification,Pass,268,97.0,437.0,2016.0,0.8333333333333334,78.2
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,Fail,268,17.0,50.0,138.0,0.8333333333333334,37.6
AAA,2013J,180753,M,South West Region,A Level or Equivalent,Pass,268,157.0,858.0,2012.0,0.8333333333333334,53.4
AAA,2013J,181316,F,South West Region,A Level or Equivalent,Withdrawn,268,20.0,145.0,487.0,0.16666666666666666,76.0
AAA,2013J,183096,F,South West Region,A Level or Equivalent,Pass,268,116.0,547.0,1975.0,0.8333333333333334,54.0
AAA,2013J,183947,M,London Region,A Level or Equivalent,Pass,268,58.0,368.0,964.0,0.8333333333333334,49.0
AAA,2013J,184271,M,South West Region,HE Qualification,Pass,268,147.0,477.0,1312.0,0.8333333333333334,59.8
AAA,2013J,185439,M,London Region,HE Qualification,Fail,268,15.0,99.0,427.0,0.16666666666666666,74.0
AAA,2013J,186149,M,Scotland,HE Qualification,Pass,268,109.0,585.0,2136.0,0.8333333333333334,76.0
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,Withdrawn,268,49.0,393.0,1434.0,0.16666666666666666,76.0
AAA,2013J,189879,M,Scotland,A Level or Equivalent,Pass,268,84.0,442.0,1541.0,0.8333333333333334,79.4
AAA,2013J,192183,F,South West Region,Lower Than A Level,Pass,268,176.0,804.0,3219.0,0.8333333333333334,68.4
AAA,2013J,195262,M,London Region,A Level or Equivalent,Withdrawn,268,58.0,352.0,1905.0,0.16666666666666666,50.0
AAA,2013J,200860,M,London Region,Lower Than A Level,Pass,268,81.0,280.0,534.0,0.8333333333333334,54.4
AAA,2013J,202635,F,Wales,A Level or Equivalent,Withdrawn,268,47.0,297.0,1418.0,0.5,66.66666666666667
AAA,2013J,205350,M,South West Region,HE Qualification,Pass,268,126.0,563.0,1665.0,0.8333333333333334,72.2
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,Fail,268,32.0,117.0,333.0,0.5,56.666666666666664
AAA,2013J,227499,F,London Region,A Level or Equivalent,Distinction,268,162.0,807.0,2953.0,0.8333333333333334,83.6
AAA,2013J,228082,M,London Region,HE Qualification,Pass,268,37.0,136.0,227.0,0.8333333333333334,72.4
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,Pass,268,38.0,166.0,445.0,0.8333333333333334,61.8
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,Pass,268,50.0,163.0,614.0,0.8333333333333334,66.0
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,Pass,268,123.0,349.0,1215.0,0.8333333333333334,78.0
AAA,2013J,231554,M,London Region,A Level or Equivalent,Pass,268,86.0,435.0,1839.0,0.6666666666666666,67.75
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,Withdrawn,268,21.0,71.0,190.0,0.16666666666666666,65.0
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,Pass,268,41.0,210.0,732.0,0.8333333333333334,78.0
AAA,2013J,238007,M,South Region,HE Qualification,Pass,268,162.0,743.0,1935.0,0.8333333333333334,79.2
AAA,2013J,240712,M,London Region,HE Qualification,Pass,268,26.0,107.0,321.0,0.8333333333333334,75.8
AAA,2013J,240884,M,South Region,A Level or Equivalent,Pass,268,44.0,191.0,427.0,0.8333333333333334,58.4
AAA,2013J,241649,M,East Anglian Region,HE Qualification,Pass,268,135.0,573.0,1892.0,0.8333333333333334,78.8
AAA,2013J,241729,F,East Midlands Region,HE Qualification,Fail,268,117.0,627.0,1829.0,0.8333333333333334,58.6
AAA,2013J,242793,M,London Region,HE Qualification,Pass,268,56.0,263.0,658.0,0.8333333333333334,77.4
AAA,2013J,246834,M,South West Region,A Level or Equivalent,Pass,268,68.0,351.0,1174.0,0.8333333333333334,55.6
AAA,2013J,248270,M,North Western Region,Lower Than A Level,Pass,268,193.0,752.0,1969.0,0.8333333333333334,78.4
AAA,2013J,255548,M,Wales,Lower Than A Level,Pass,268,166.0,815.0,2580.0,0.8333333333333334,71.4
AAA,2013J,256815,M,North Western Region,HE Qualification,Pass,268,139.0,518.0,1481.0,0.8333333333333334,76.8
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,Pass,268,53.0,299.0,844.0,0.8333333333333334,58.8
AAA,2013J,260355,F,London Region,A Level or Equivalent,Withdrawn,268,43.0,134.0,426.0,0.3333333333333333,57.5
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,Pass,268,69.0,345.0,1066.0,0.8333333333333334,71.0
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,Pass,268,119.0,717.0,2407.0,0.8333333333333334,76.6
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,Fail,268,116.0,716.0,3210.0,0.8333333333333334,74.6
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,Withdrawn,268,18.0,55.0,188.0,0.3333333333333333,43.0
AAA,2013J,271251,M,Scotland,A Level or Equivalent,Pass,268,128.0,639.0,3348.0,0.8333333333333334,76.4
AAA,2013J,277880,F,South East Region,A Level or Equivalent,Withdrawn,268,78.0,470.0,2016.0,0.5,67.66666666666667
AAA,2013J,279572,M,London Region,Lower Than A Level,Distinction,268,63.0,297.0,1183.0,0.8333333333333334,79.2
AAA,2013J,281022,F,Scotland,A Level or Equivalent,Pass,268,49.0,183.0,492.0,0.8333333333333334,73.4
AAA,2013J,281250,M,Wales,Lower Than A Level,Fail,268,15.0,77.0,130.0,0.8333333333333334,55.4
AAA,2013J,281589,M,North Western Region,HE Qualification,Fail,268,8.0,28.0,59.0,0.0,0.0
AAA,2013J,282821,M,South West Region,A Level or Equivalent,Pass,268,87.0,478.0,1961.0,0.8333333333333334,60.6
AAA,2013J,286488,M,South East Region,A Level or Equivalent,Pass,268,68.0,284.0,1046.0,0.8333333333333334,71.0
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,Pass,268,47.0,144.0,483.0,0.8333333333333334,67.8
AAA,2013J,290201,M,Wales,A Level or Equivalent,Pass,268,108.0,496.0,1740.0,0.8333333333333334,70.4
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,Pass,268,33.0,153.0,652.0,0.8333333333333334,75.0
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,Pass,268,28.0,114.0,187.0,0.6666666666666666,46.75
AAA,2013J,294570,M,South East Region,HE Qualification,Pass,268,119.0,438.0,1775.0,0.8333333333333334,78.2
AAA,2013J,294594,M,South East Region,A Level or Equivalent,Pass,268,94.0,256.0,865.0,0.8333333333333334,52.8
AAA,2013J,295741,M,South East Region,A Level or Equivalent,Fail,268,87.0,300.0,709.0,0.8333333333333334,50.2
AAA,2013J,296332,M,South Region,Post Graduate Qualification,Distinction,268,124.0,511.0,2152.0,0.8333333333333334,86.8
AAA,2013J,298696,F,South East Region,HE Qualification,Pass,268,58.0,201.0,514.0,0.8333333333333334,80.8
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,Pass,268,108.0,580.0,1997.0,0.8333333333333334,78.8
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,Fail,268,24.0,165.0,513.0,0.5,58.666666666666664
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,Fail,268,11.0,44.0,146.0,0.16666666666666666,64.0
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,Pass,268,85.0,368.0,1277.0,0.8333333333333334,78.0
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,Pass,268,81.0,322.0,987.0,0.8333333333333334,58.2
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,Pass,268,110.0,378.0,1220.0,0.8333333333333334,82.0
AAA,2013J,306897,F,London Region,A Level or Equivalent,Pass,268,189.0,1112.0,2742.0,0.8333333333333334,62.6
AAA,2013J,307061,F,East Midlands Region,HE Qualification,Pass,268,87.0,401.0,1081.0,0.8333333333333334,81.2
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,Pass,268,76.0,377.0,1476.0,0.6666666666666666,60.0
AAA,2013J,311917,M,South West Region,A Level or Equivalent,Pass,268,145.0,696.0,2230.0,0.8333333333333334,59.2
AAA,2013J,312782,M,South Region,A Level or Equivalent,Pass,268,46.0,106.0,281.0,0.8333333333333334,61.8
AAA,2013J,318933,F,East Anglian Region,HE Qualification,Pass,268,106.0,460.0,1281.0,0.8333333333333334,66.6
AAA,2013J,324002,M,East Anglian Region,HE Qualification,Pass,268,122.0,610.0,1901.0,0.8333333333333334,80.4
AAA,2013J,324084,F,South West Region,A Level or Equivalent,Pass,268,110.0,494.0,1961.0,0.8333333333333334,57.6
AAA,2013J,324282,M,South East Region,A Level or Equivalent,Pass,268,38.0,74.0,133.0,0.8333333333333334,61.2
AAA,2013J,331358,F,South Region,HE Qualification,Withdrawn,268,45.0,527.0,2376.0,0.16666666666666666,84.0
AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,Pass,268,72.0,448.0,1655.0,0.8333333333333334,74.4
AAA,2013J,333059,M,Scotland,A Level or Equivalent,Pass,268,31.0,136.0,301.0,0.8333333333333334,65.8
AAA,2013J,333323,M,Scotland,HE Qualification,Pass,268,36.0,178.0,648.0,0.8333333333333334,74.4
AAA,2013J,334259,F,London Region,A Level or Equivalent,Fail,268,27.0,122.0,332.0,0.3333333333333333,53.0
AAA,2013J,334333,F,South West Region,A Level or Equivalent,Withdrawn,268,33.0,100.0,303.0,0.16666666666666666,36.0
AAA,2013J,335764,F,South East Region,A Level or Equivalent,Withdrawn,268,106.0,731.0,2286.0,0.5,86.33333333333333
AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,Pass,268,111.0,396.0,1316.0,0.8333333333333334,68.2
AAA,2013J,339972,M,North Region,A Level or Equivalent,Pass,268,33.0,125.0,333.0,0.8333333333333334,49.8
AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,Fail,268,35.0,113.0,201.0,0.8333333333333334,64.2
AAA,2013J,342007,F,West Midlands Region,HE Qualification,Withdrawn,268,38.0,228.0,880.0,0.16666666666666666,75.0
AAA,2013J,342514,M,Scotland,Lower Than A Level,Pass,268,98.0,447.0,1950.0,0.8333333333333334,77.2
AAA,2013J,342972,M,Yorkshire Region,HE Qualification,Pass,268,72.0,323.0,838.0,0.8333333333333334,60.4
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,Fail,268,18.0,53.0,65.0,0.8333333333333334,49.2
AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,Pass,268,51.0,213.0,547.0,0.8333333333333334,78.0
AAA,2013J,345357,M,Yorkshire Region,A Level or Equivalent,Distinction,268,134.0,737.0,2219.0,0.8333333333333334,80.4
AAA,2013J,346025,M,East Anglian Region,A Level or Equivalent,Pass,268,103.0,272.0,569.0,0.8333333333333334,82.4
AAA,2013J,346843,F,Scotland,HE Qualification,Fail,268,8.0,40.0,164.0,0.0,0.0
AAA,2013J,350188,M,North Western Region,HE Qualification,Pass,268,78.0,316.0,761.0,0.8333333333333334,73.8
AAA,2013J,354858,M,South Region,HE Qualification,Withdrawn,268,7.0,46.0,198.0,0.0,0.0
AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,Fail,268,27.0,88.0,166.0,0.5,57.0
AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,Fail,268,63.0,242.0,821.0,0.6666666666666666,69.0
AAA,2013J,365244,F,London Region,A Level or Equivalent,Pass,268,78.0,403.0,891.0,0.8333333333333334,56.4
AAA,2013J,365642,M,East Anglian Region,Lower Than A Level,Pass,268,148.0,755.0,2129.0,0.8333333333333334,70.0
AAA,2013J,366483,M,South West Region,HE Qualification,Pass,268,129.0,488.0,1465.0,0.8333333333333334,76.8
AAA,2013J,368194,F,South West Region,A Level or Equivalent,Pass,268,32.0,169.0,437.0,0.8333333333333334,50.4
AAA,2013J,368824,M,Wales,HE Qualification,Fail,268,25.0,124.0,292.0,0.8333333333333334,55.6
AAA,2013J,368963,M,Yorkshire Region,Lower Than A Level,Pass,268,52.0,225.0,677.0,0.8333333333333334,66.4
AAA,2013J,376581,F,South Region,A Level or Equivalent,Pass,268,124.0,627.0,2333.0,0.8333333333333334,72.8
AAA,2013J,380953,M,East Midlands Region,A Level or Equivalent,Pass,268,97.0,374.0,1062.0,0.8333333333333334,67.8
AAA,2013J,383254,M,Yorkshire Region,A Level or Equivalent,Pass,268,91.0,272.0,543.0,0.8333333333333334,75.6
AAA,2013J,386952,M,Yorkshire Region,A Level or Equivalent,Pass,268,114.0,357.0,910.0,0.8333333333333334,68.0
AAA,2013J,388722,F,London Region,Lower Than A Level,Pass,268,57.0,222.0,671.0,0.8333333333333334,63.8
AAA,2013J,388885,M,South West Region,A Level or Equivalent,Pass,268,50.0,245.0,875.0,0.8333333333333334,60.6
AAA,2013J,390890,M,Scotland,A Level or Equivalent,Withdrawn,268,50.0,217.0,639.0,0.5,69.66666666666667
AAA,2013J,392756,M,West Midlands Region,A Level or Equivalent,Fail,268,44.0,167.0,363.0,0.8333333333333334,45.0
AAA,2013J,392931,F,North Western Region,A Level or Equivalent,Pass,268,177.0,958.0,3003.0,0.8333333333333334,68.4
AAA,2013J,393207,M,North Western Region,A Level or Equivalent,Pass,268,50.0,237.0,876.0,0.8333333333333334,74.2
AAA,2013J,396872,M,Yorkshire Region,HE Qualification,Pass,268,70.0,307.0,996.0,0.8333333333333334,61.4
AAA,2013J,398552,M,Yorkshire Region,Lower Than A Level,Fail,268,87.0,323.0,1183.0,0.8333333333333334,46.4
AAA,2013J,401869,F,South East Region,Lower Than A Level,Pass,268,90.0,352.0,955.0,0.8333333333333334,65.0
AAA,2013J,402470,M,South West Region,Lower Than A Level,Pass,268,83.0,346.0,1445.0,0.8333333333333334,72.6
AAA,2013J,404804,M,Wales,Lower Than A Level,Pass,268,26.0,152.0,509.0,0.8333333333333334,43.8
AAA,2013J,405088,M,North Region,A Level or Equivalent,Pass,268,87.0,409.0,1388.0,0.8333333333333334,77.2
AAA,2013J,414117,M,Yorkshire Region,A Level or Equivalent,Pass,268,105.0,322.0,807.0,0.8333333333333334,76.4
AAA,2013J,415969,M,West Midlands Region,HE Qualification,Withdrawn,268,49.0,297.0,1359.0,0.5,59.666666666666664
AAA,2013J,420087,M,Scotland,A Level or Equivalent,Fail,268,27.0,137.0,342.0,0.5,76.0
AAA,2013J,429958,F,North Western Region,A Level or Equivalent,Pass,268,25.0,125.0,411.0,0.8333333333333334,58.4
AAA,2013J,441018,F,South East Region,A Level or Equivalent,Pass,268,50.0,245.0,646.0,0.8333333333333334,59.8
AAA,2013J,441888,M,London Region,A Level or Equivalent,Pass,268,43.0,272.0,739.0,0.8333333333333334,70.6
AAA,2013J,442442,M,South West Region,HE Qualification,Withdrawn,268,49.0,295.0,1009.0,0.3333333333333333,40.5
AAA,2013J,444677,M,London Region,HE Qualification,Distinction,268,140.0,507.0,1241.0,0.8333333333333334,87.6
AAA,2013J,470588,M,South East Region,HE Qualification,Withdrawn,268,16.0,81.0,400.0,0.16666666666666666,86.0
AAA,2013J,489455,F,South West Region,A Level or Equivalent,Pass,268,131.0,808.0,2832.0,0.8333333333333334,70.6
AAA,2013J,494424,F,North Region,A Level or Equivalent,Fail,268,2.0,21.0,58.0,0.0,0.0
AAA,2013J,495284,M,South East Region,HE Qualification,Pass,268,78.0,231.0,901.0,0.8333333333333334,66.6
AAA,2013J,498857,M,North Western Region,HE Qualification,Pass,268,88.0,342.0,998.0,0.8333333333333334,73.0
AAA,2013J,508818,M,London Region,A Level or Equivalent,Pass,268,61.0,274.0,1129.0,0.8333333333333334,71.8
AAA,2013J,512460,M,South East Region,HE Qualification,Pass,268,58.0,235.0,521.0,0.8333333333333334,72.4
AAA,2013J,544103,M,North Western Region,HE Qualification,Pass,268,112.0,714.0,2328.0,0.8333333333333334,81.0
AAA,2013J,550383,M,South East Region,HE Qualification,Pass,268,66.0,236.0,910.0,0.8333333333333334,72.0
AAA,2013J,564450,M,West Midlands Region,HE Qualification,Fail,268,32.0,88.0,224.0,0.8333333333333334,59.2
AAA,2013J,568601,F,Scotland,HE Qualification,Withdrawn,268,17.0,84.0,488.0,0.3333333333333333,81.5
AAA,2013J,572652,M,West Midlands Region,HE Qualification,Pass,268,42.0,200.0,780.0,0.8333333333333334,73.2
AAA,2013J,580389,M,Ireland,HE Qualification,Pass,268,50.0,316.0,1271.0,0.8333333333333334,71.4
AAA,2013J,581129,M,East Anglian Region,A Level or Equivalent,Fail,268,19.0,76.0,194.0,0.3333333333333333,40.0
AAA,2013J,591774,M,South Region,Post Graduate Qualification,Pass,268,36.0,209.0,605.0,0.8333333333333334,76.2
AAA,2013J,606143,M,Scotland,Post Graduate Qualification,Fail,268,34.0,129.0,406.0,0.3333333333333333,66.0
AAA,2013J,704156,M,South Region,HE Qualification,Pass,268,131.0,742.0,3064.0,0.8333333333333334,66.0
AAA,2013J,721259,F,South Region,Lower Than A Level,Withdrawn,268,27.0,282.0,1228.0,0.0,0.0
AAA,2013J,905042,F,East Anglian Region,A Level or Equivalent,Pass,268,166.0,875.0,3004.0,0.8333333333333334,76.4
AAA,2013J,949618,F,South West Region,A Level or Equivalent,Pass,268,94.0,559.0,1357.0,0.8333333333333334,61.8
AAA,2013J,958987,M,North Western Region,HE Qualification,Pass,268,102.0,391.0,1216.0,0.8333333333333334,77.2
AAA,2013J,968578,F,East Anglian Region,A Level or Equivalent,Pass,268,66.0,268.0,870.0,0.8333333333333334,72.0
AAA,2013J,969076,M,South West Region,A Level or Equivalent,Withdrawn,268,135.0,746.0,1980.0,0.6666666666666666,59.75
AAA,2013J,971027,F,West Midlands Region,HE Qualification,Pass,268,158.0,760.0,3098.0,0.8333333333333334,68.0
AAA,2013J,1035023,F,London Region,Lower Than A Level,Pass,268,150.0,572.0,1896.0,0.8333333333333334,70.0
AAA,2013J,1105478,M,Scotland,HE Qualification,Pass,268,125.0,512.0,1695.0,0.8333333333333334,82.6
AAA,2013J,1352868,M,Yorkshire Region,A Level or Equivalent,Withdrawn,268,36.0,174.0,641.0,0.3333333333333333,65.5
AAA,2013J,1401935,M,West Midlands Region,A Level or Equivalent,Fail,268,24.0,85.0,240.0,0.3333333333333333,35.0
AAA,2013J,1402638,F,East Midlands Region,HE Qualification,Pass,268,75.0,310.0,910.0,0.8333333333333334,75.2
AAA,2013J,1414443,F,Yorkshire Region,A Level or Equivalent,Fail,268,43.0,397.0,1907.0,0.3333333333333333,59.0
AAA,2013J,1456619,M,South West Region,A Level or Equivalent,Withdrawn,268,22.0,138.0,467.0,0.0,0.0
AAA,2013J,1465690,M,West Midlands Region,HE Qualification,Pass,268,165.0,994.0,3460.0,0.8333333333333334,81.8
AAA,2013J,1472925,F,East Anglian Region,Lower Than A Level,Fail,268,47.0,230.0,939.0,0.8333333333333334,61.6
AAA,2013J,1488959,M,London Region,A Level or Equivalent,Pass,268,155.0,721.0,3493.0,0.8333333333333334,61.8
AAA,2013J,1618738,M,London Region,Lower Than A Level,Pass,268,19.0,147.0,723.0,0.8333333333333334,79.6
AAA,2013J,1620151,M,South Region,HE Qualification,Fail,268,44.0,218.0,998.0,0.3333333333333333,77.5
AAA,2013J,1686521,F,North Western Region,Lower Than A Level,Withdrawn,268,29.0,201.0,643.0,0.16666666666666666,68.0
AAA,2013J,1729319,F,Scotland,HE Qualification,Pass,268,124.0,765.0,2756.0,0.8333333333333334,78.2
AAA,2013J,1746134,M,East Anglian Region,A Level or Equivalent,Pass,268,75.0,534.0,1759.0,0.8333333333333334,83.8
AAA,2013J,1758449,M,South Region,Lower Than A Level,Withdrawn,268,75.0,650.0,2756.0,0.3333333333333333,61.0
AAA,2013J,1801641,M,Scotland,A Level or Equivalent,Pass,268,41.0,134.0,459.0,0.8333333333333334,77.4
AAA,2013J,1889511,M,Yorkshire Region,A Level or Equivalent,Pass,268,99.0,575.0,1754.0,0.8333333333333334,72.0
AAA,2013J,1889577,F,South Region,A Level or Equivalent,Pass,268,63.0,307.0,931.0,0.8333333333333334,73.6
AAA,2013J,1938355,M,South Region,A Level or Equivalent,Pass,268,147.0,607.0,1992.0,0.8333333333333334,73.0
AAA,2013J,1942396,F,East Anglian Region,Lower Than A Level,Pass,268,47.0,164.0,470.0,0.8333333333333334,53.6
AAA,2013J,1976139,M,Ireland,Lower Than A Level,Pass,268,60.0,354.0,1216.0,0.6666666666666666,67.25
AAA,2013J,2011876,F,East Anglian Region,A Level or Equivalent,Pass,268,81.0,419.0,1401.0,0.8333333333333334,76.0
AAA,2013J,2012966,M,North Western Region,Lower Than A Level,Pass,268,39.0,148.0,519.0,0.8333333333333334,78.4
